Nr Etime Raw dBm dBmW/m2 sum:dBmW/m2 loop X Y Z 
1 0 -104.178581238 -101.746055603 -64.1860580444 -112.706637402 3 5305328.3202 -1375057.58978 3156495.88706 
2 0.0386478900909 -104.841712952 -102.409187317 -64.8491897583 -111.883139372 1 5305328.3202 -1375057.58978 3156495.88706 
3 0.0982530117035 -104.761222839 -102.328697205 -64.768699646 -111.893931531 2 5305328.40337 -1375057.61134 3156495.83723 
4 0.286118030548 -105.881866455 -103.44934082 -65.8893432617 -112.87961473 3 5305328.40337 -1375057.61134 3156495.83723 
5 0.447329044342 -104.780204773 -102.347679138 -64.7876815796 -112.844289593 1 5305328.05217 -1375057.52031 3156496.04767 
6 0.604950904846 -94.8713226318 -92.4387969971 -54.8787994385 -107.473400745 2 5305328.05217 -1375057.52031 3156496.04767 
7 0.753389835358 -95.3819732666 -92.9494476318 -55.3894500732 -101.376118942 3 5305328.38624 -1375057.6069 3156495.8475 
8 0.907174825668 -90.3930206299 -87.9604949951 -50.4004974365 -92.843330127 1 5305328.13344 -1375057.54137 3156495.99897 
9 1.0936729908 -98.4154586792 -95.9829330444 -58.4229354858 -94.9812650582 2 5305328.13344 -1375057.54137 3156495.99897 
10 1.25141882896 -95.7017364502 -93.2692108154 -55.7092132568 -95.1680932578 3 5305328.13102 -1375057.54075 3156496.00042 
11 1.39765286446 -90.5357666016 -88.1032409668 -50.5432434082 -95.2437677053 1 5305328.13102 -1375057.54075 3156496.00042 
12 1.55843496323 -99.075050354 -96.6425247192 -59.0825271606 -95.6497826009 2 5305328.33968 -1375057.59483 3156495.8754 
13 1.71283197403 -95.8133468628 -93.380821228 -55.8208236694 -95.7148307476 3 5305328.33968 -1375057.59483 3156495.8754 
14 1.84552788734 -89.7928390503 -87.3603134155 -49.8003158569 -95.3246076849 1 5305328.04594 -1375057.5187 3156496.0514 
15 2.00448703766 -100.043258667 -97.6107330322 -60.0507354736 -95.9277157317 2 5305328.04594 -1375057.5187 3156496.0514 
16 2.15907597542 -95.6354141235 -93.2028884888 -55.6428909302 -95.8242850296 3 5305327.99557 -1375057.50564 3156496.08158 
17 2.34531497955 -104.920692444 -102.488166809 -64.9281692505 -104.488704194 1 5305327.99557 -1375057.50564 3156496.08158 
18 2.49782085419 -105.842597961 -103.410072327 -65.8500747681 -107.92604329 2 5305327.86965 -1375057.473 3156496.15704 
19 2.65053582191 -104.490509033 -102.057983398 -64.4979858398 -112.747016309 3 5305327.86965 -1375057.473 3156496.15704 
20 2.81005883217 -103.831298828 -101.398773193 -63.8387756348 -112.1231992 1 5305328.22466 -1375057.56502 3156495.94432 
